__run_id,__done,problem,prompts,run_number,execution_time,cpu_usage,memory_usage,energy_consumption
run_0_repetition_0,DONE,O_n_problem,human,1,257.749,11.575,56.589,15.027
run_1_repetition_0,DONE,O_n_problem,human,2,257.971,11.932,56.884,15.267
run_2_repetition_0,DONE,O_n_problem,human,3,264.088,11.963,57.233,15.198
run_3_repetition_0,DONE,O_n_problem,human,4,256.36,11.36,57.908,14.888
run_4_repetition_0,DONE,O_n_problem,human,5,255.756,11.167,58.063,14.804
run_5_repetition_0,DONE,O_n_problem,human,6,258.679,10.87,58.035,14.698
run_6_repetition_0,DONE,O_n_problem,human,7,258.604,11.057,58.169,14.653
run_7_repetition_0,DONE,O_n_problem,human,8,257.54,11.007,58.312,13.271
run_8_repetition_0,DONE,O_n_problem,human,9,257.058,10.974,58.339,12.706
run_9_repetition_0,DONE,O_n_problem,human,10,670.343,11.998,57.537,12.761
run_10_repetition_0,DONE,O_n_problem,human,11,261.459,11.051,55.772,12.585
run_11_repetition_0,DONE,O_n_problem,human,12,261.072,10.929,56.109,12.591
run_12_repetition_0,DONE,O_n_problem,human,13,1746.915,11.867,56.4,10.525
run_13_repetition_0,DONE,O_n_problem,human,14,1640.816,12.72,56.83,10.687
run_14_repetition_0,DONE,O_n_problem,human,15,885.35,11.711,57.15,10.585
run_15_repetition_0,DONE,O_n_problem,human,16,1740.092,11.744,56.253,10.423
run_16_repetition_0,DONE,O_n_problem,human,17,999.574,12.522,56.67,10.587
run_17_repetition_0,DONE,O_n_problem,human,18,254.482,11.301,56.281,10.59
run_18_repetition_0,DONE,O_n_problem,human,19,252.616,11.497,56.535,10.503
run_19_repetition_0,DONE,O_n_problem,human,20,253.901,11.134,55.997,10.39
run_20_repetition_0,DONE,O_n_problem,base_prompt,1,256.147,11.212,56.095,10.433
run_21_repetition_0,DONE,O_n_problem,base_prompt,2,254.704,11.19,56.207,10.38
run_22_repetition_0,DONE,O_n_problem,base_prompt,3,253.435,11.145,56.211,10.44
run_23_repetition_0,DONE,O_n_problem,base_prompt,4,256.373,11.462,55.976,10.519
run_24_repetition_0,DONE,O_n_problem,base_prompt,5,1065.57,11.735,56.224,10.594
run_25_repetition_0,DONE,O_n_problem,base_prompt,6,1631.303,12.838,56.364,10.576
run_26_repetition_0,DONE,O_n_problem,base_prompt,7,1741.524,12.074,56.173,10.459
run_27_repetition_0,DONE,O_n_problem,base_prompt,8,1405.97,13.237,56.222,10.541
run_28_repetition_0,DONE,O_n_problem,base_prompt,9,1879.603,17.757,56.327,10.666
run_29_repetition_0,DONE,O_n_problem,base_prompt,10,973.203,25.275,57.219,10.816
run_30_repetition_0,DONE,O_n_problem,base_prompt,11,250.947,23.676,56.861,10.763
