__run_id,__done,run_number,prompts,problem,execution_time,cpu_usage,memory_usage,energy_usage
run_14_repetition_0,DONE,r3,few_shot_prompt,O_n2_problem,26.473451,100.032,0.1,81.14
run_10_repetition_0,DONE,r2,instructed_prompt_llen,O_n2_problem,21.856635,100.0,0.1,64.831
run_6_repetition_0,DONE,r2,human,O_n2_problem,17.172884,100.0,0.1,51.915
run_1_repetition_0,DONE,r1,base_prompt,O_n2_problem,29.0914,99.975,0.1,90.825
run_5_repetition_0,DONE,r1,instructed_prompt_de,O_n2_problem,21.212173,99.935,0.1,64.915
run_2_repetition_0,DONE,r1,few_shot_prompt,O_n2_problem,28.359219,99.841,0.1,87.601
run_12_repetition_0,DONE,r3,human,O_n2_problem,17.158643,99.856,0.1,51.866
run_3_repetition_0,DONE,r1,instructed_prompt_slen,O_n2_problem,21.69499,99.833,0.1,64.857
run_8_repetition_0,DONE,r2,few_shot_prompt,O_n2_problem,27.656421,99.941,0.1,84.365
run_16_repetition_0,DONE,r3,instructed_prompt_llen,O_n2_problem,23.282214,99.923,0.1,71.344
run_7_repetition_0,DONE,r2,base_prompt,O_n2_problem,28.836004,99.896,0.1,87.624
run_13_repetition_0,DONE,r3,base_prompt,O_n2_problem,26.900599,99.954,0.1,81.111
run_11_repetition_0,DONE,r2,instructed_prompt_de,O_n2_problem,22.068765,100.0,0.1,68.158
run_17_repetition_0,DONE,r3,instructed_prompt_de,O_n2_problem,21.491463,99.924,0.1,64.883
run_0_repetition_0,DONE,r1,human,O_n2_problem,17.475858,99.976,0.1,51.9
run_15_repetition_0,DONE,r3,instructed_prompt_slen,O_n2_problem,22.310474,99.933,0.1,68.125
run_9_repetition_0,DONE,r2,instructed_prompt_slen,O_n2_problem,22.480594,99.705,0.1,68.097
run_4_repetition_0,DONE,r1,instructed_prompt_llen,O_n2_problem,21.510043,99.89,0.1,64.89
