__run_id,__done,run_number,prompts,problem,execution_time,cpu_usage,memory_usage,energy_usage
run_0_repetition_0,DONE,r1,human,O_nlogn_problem,4.274407,100.0,0.1,9.74
run_2_repetition_0,DONE,r1,few_shot_prompt,O_nlogn_problem,3.77369,100.0,0.1,6.491
run_13_repetition_0,DONE,r3,base_prompt,O_nlogn_problem,4.109903,100.0,0.1,9.748
run_11_repetition_0,DONE,r2,instructed_prompt_de,O_nlogn_problem,4.219211,100.0,0.1,9.708
run_3_repetition_0,DONE,r1,instructed_prompt_slen,O_nlogn_problem,3.82882,100.0,0.1,6.431
run_5_repetition_0,DONE,r1,instructed_prompt_de,O_nlogn_problem,4.041908,100.0,0.1,9.735
run_9_repetition_0,DONE,r2,instructed_prompt_slen,O_nlogn_problem,3.860674,100.0,0.1,6.49
run_7_repetition_0,DONE,r2,base_prompt,O_nlogn_problem,4.13991,100.0,0.1,9.706
run_6_repetition_0,DONE,r2,human,O_nlogn_problem,4.307802,100.0,0.1,9.762
run_14_repetition_0,DONE,r3,few_shot_prompt,O_nlogn_problem,4.007111,100.0,0.1,6.49
run_4_repetition_0,DONE,r1,instructed_prompt_llen,O_nlogn_problem,4.411091,99.825,0.1,9.739
run_12_repetition_0,DONE,r3,human,O_nlogn_problem,4.521729,99.925,0.1,9.71
run_16_repetition_0,DONE,r3,instructed_prompt_llen,O_nlogn_problem,4.195585,100.0,0.1,9.678
run_15_repetition_0,DONE,r3,instructed_prompt_slen,O_nlogn_problem,3.807403,100.0,0.1,6.463
run_1_repetition_0,DONE,r1,base_prompt,O_nlogn_problem,4.021682,100.0,0.1,6.463
run_17_repetition_0,DONE,r3,instructed_prompt_de,O_nlogn_problem,4.062584,100.0,0.1,9.738
run_10_repetition_0,DONE,r2,instructed_prompt_llen,O_nlogn_problem,4.270716,100.0,0.1,9.763
run_8_repetition_0,DONE,r2,few_shot_prompt,O_nlogn_problem,3.818058,100.0,0.1,6.459
