__run_id,__done,run_number,prompts,problem,execution_time,cpu_usage,memory_usage,energy_usage
run_7_repetition_0,DONE,r1,few_shot_prompt,O_nlogn_problem,91.952226,99.906,0.1,292.035
run_66_repetition_0,DONE,r4,instructed_prompt_llen,O_n_problem,252.84772,99.995,0.1,814.616
run_37_repetition_0,DONE,r3,human,O_nlogn_problem,106.566395,99.928,0.1,340.516
run_15_repetition_0,DONE,r1,instructed_prompt_de,O_n_problem,213.114941,99.966,0.1,684.691
run_46_repetition_0,DONE,r3,instructed_prompt_slen,O_nlogn_problem,92.663007,99.96,0.1,295.234
run_18_repetition_0,DONE,r2,human,O_n_problem,278.053517,99.905,0.1,895.646
run_60_repetition_0,DONE,r4,few_shot_prompt,O_n_problem,235.739436,99.935,0.1,759.245
run_72_repetition_0,DONE,r5,human,O_n_problem,249.727294,99.945,0.1,804.276
run_35_repetition_0,DONE,r2,instructed_prompt_de,O_n2_problem,543.287432,99.957,0.1,1755.674
run_69_repetition_0,DONE,r4,instructed_prompt_de,O_n_problem,214.464099,100.0,0.1,691.234
run_13_repetition_0,DONE,r1,instructed_prompt_llen,O_nlogn_problem,98.995159,99.891,0.1,314.707
run_50_repetition_0,DONE,r3,instructed_prompt_llen,O_n2_problem,541.090169,99.897,0.1,1749.166
run_16_repetition_0,DONE,r1,instructed_prompt_de,O_nlogn_problem,99.001357,99.935,0.1,314.708
run_6_repetition_0,DONE,r1,few_shot_prompt,O_n_problem,247.377598,99.942,0.1,798.366
run_61_repetition_0,DONE,r4,few_shot_prompt,O_nlogn_problem,94.356088,99.89,0.1,301.736
run_3_repetition_0,DONE,r1,base_prompt,O_n_problem,232.047517,99.923,0.1,746.544
run_82_repetition_0,DONE,r5,instructed_prompt_slen,O_nlogn_problem,91.229549,99.981,0.1,292.008
run_2_repetition_0,DONE,r1,human,O_n2_problem,420.911006,99.934,0.1,1359.633
run_70_repetition_0,DONE,r4,instructed_prompt_de,O_nlogn_problem,96.743475,99.97,0.1,308.28
run_88_repetition_0,DONE,r5,instructed_prompt_de,O_nlogn_problem,99.182414,99.936,0.1,317.931
run_5_repetition_0,DONE,r1,base_prompt,O_n2_problem,675.485543,99.916,0.1,2187.303
run_86_repetition_0,DONE,r5,instructed_prompt_llen,O_n2_problem,529.852729,99.918,0.1,1713.637
run_32_repetition_0,DONE,r2,instructed_prompt_llen,O_n2_problem,557.648649,99.914,0.1,1804.21
run_39_repetition_0,DONE,r3,base_prompt,O_n_problem,248.54491,99.992,0.1,801.62
run_71_repetition_0,DONE,r4,instructed_prompt_de,O_n2_problem,547.055755,99.988,0.1,1768.803
run_59_repetition_0,DONE,r4,base_prompt,O_n2_problem,682.47357,99.963,0.1,2206.84
run_74_repetition_0,DONE,r5,human,O_n2_problem,414.202318,99.928,0.1,1337.168
run_10_repetition_0,DONE,r1,instructed_prompt_slen,O_nlogn_problem,91.518151,99.951,0.1,292.072
run_51_repetition_0,DONE,r3,instructed_prompt_de,O_n_problem,212.147439,99.933,0.1,681.707
run_29_repetition_0,DONE,r2,instructed_prompt_slen,O_n2_problem,554.212883,99.973,0.1,1791.319
run_81_repetition_0,DONE,r5,instructed_prompt_slen,O_n_problem,238.72544,99.927,0.1,769.283
run_36_repetition_0,DONE,r3,human,O_n_problem,268.335094,99.999,0.1,866.446
run_26_repetition_0,DONE,r2,few_shot_prompt,O_n2_problem,666.994045,99.952,0.1,2158.097
run_89_repetition_0,DONE,r5,instructed_prompt_de,O_n2_problem,547.716643,99.94,0.1,1771.832
run_4_repetition_0,DONE,r1,base_prompt,O_nlogn_problem,101.266776,99.929,0.1,324.554
run_79_repetition_0,DONE,r5,few_shot_prompt,O_nlogn_problem,90.480748,99.934,0.1,288.886
run_57_repetition_0,DONE,r4,base_prompt,O_n_problem,239.727789,99.895,0.1,772.365
run_1_repetition_0,DONE,r1,human,O_nlogn_problem,105.309679,99.952,0.1,337.434
run_68_repetition_0,DONE,r4,instructed_prompt_llen,O_n2_problem,564.44054,99.948,0.1,1827.142
run_84_repetition_0,DONE,r5,instructed_prompt_llen,O_n_problem,248.983932,99.95,0.1,801.44
run_28_repetition_0,DONE,r2,instructed_prompt_slen,O_nlogn_problem,90.749712,99.927,0.1,288.815
run_76_repetition_0,DONE,r5,base_prompt,O_nlogn_problem,100.309086,99.92,0.1,321.28
run_52_repetition_0,DONE,r3,instructed_prompt_de,O_nlogn_problem,102.192362,99.921,0.1,327.553
run_77_repetition_0,DONE,r5,base_prompt,O_n2_problem,674.153426,99.925,0.1,2180.651
run_47_repetition_0,DONE,r3,instructed_prompt_slen,O_n2_problem,575.028236,99.982,0.1,1855.298
run_80_repetition_0,DONE,r5,few_shot_prompt,O_n2_problem,676.362793,99.909,0.1,2187.453
run_85_repetition_0,DONE,r5,instructed_prompt_llen,O_nlogn_problem,100.476595,99.97,0.1,321.316
run_41_repetition_0,DONE,r3,base_prompt,O_n2_problem,686.911674,99.937,0.1,2222.928
run_31_repetition_0,DONE,r2,instructed_prompt_llen,O_nlogn_problem,100.449072,99.932,0.1,321.323
run_44_repetition_0,DONE,r3,few_shot_prompt,O_n2_problem,673.597953,99.904,0.1,2178.004
run_63_repetition_0,DONE,r4,instructed_prompt_slen,O_n_problem,233.430088,99.9,0.1,752.88
run_48_repetition_0,DONE,r3,instructed_prompt_llen,O_n_problem,241.841069,99.914,0.1,778.833
run_83_repetition_0,DONE,r5,instructed_prompt_slen,O_n2_problem,548.560643,99.95,0.1,1775.437
run_17_repetition_0,DONE,r1,instructed_prompt_de,O_n2_problem,550.36433,99.905,0.1,1778.787
run_0_repetition_0,DONE,r1,human,O_n_problem,256.431055,99.9,0.1,827.399
run_64_repetition_0,DONE,r4,instructed_prompt_slen,O_nlogn_problem,88.51732,99.913,0.1,282.282
run_62_repetition_0,DONE,r4,few_shot_prompt,O_n2_problem,690.296413,99.899,0.1,2233.182
run_12_repetition_0,DONE,r1,instructed_prompt_llen,O_n_problem,236.084379,99.914,0.1,759.405
run_21_repetition_0,DONE,r2,base_prompt,O_n_problem,230.826142,99.953,0.1,743.347
run_55_repetition_0,DONE,r4,human,O_nlogn_problem,104.901253,99.958,0.1,334.337
run_45_repetition_0,DONE,r3,instructed_prompt_slen,O_n_problem,234.799568,99.983,0.1,756.508
run_73_repetition_0,DONE,r5,human,O_nlogn_problem,102.708464,99.995,0.1,327.687
run_30_repetition_0,DONE,r2,instructed_prompt_llen,O_n_problem,231.222659,99.913,0.1,743.261
run_22_repetition_0,DONE,r2,base_prompt,O_nlogn_problem,97.905742,100.0,0.1,311.549
run_58_repetition_0,DONE,r4,base_prompt,O_nlogn_problem,100.839313,99.933,0.1,321.043
run_9_repetition_0,DONE,r1,instructed_prompt_slen,O_n_problem,236.71468,99.906,0.1,762.857
run_65_repetition_0,DONE,r4,instructed_prompt_slen,O_n2_problem,531.780355,99.907,0.1,1720.34
run_67_repetition_0,DONE,r4,instructed_prompt_llen,O_nlogn_problem,102.119913,99.89,0.1,324.409
run_27_repetition_0,DONE,r2,instructed_prompt_slen,O_n_problem,243.044726,99.903,0.1,781.993
run_14_repetition_0,DONE,r1,instructed_prompt_llen,O_n2_problem,536.750403,99.925,0.1,1736.36
run_23_repetition_0,DONE,r2,base_prompt,O_n2_problem,687.151723,99.925,0.1,2223.397
run_34_repetition_0,DONE,r2,instructed_prompt_de,O_nlogn_problem,99.419579,99.886,0.1,317.998
run_78_repetition_0,DONE,r5,few_shot_prompt,O_n_problem,252.470093,100.0,0.1,814.51
run_42_repetition_0,DONE,r3,few_shot_prompt,O_n_problem,248.190672,99.997,0.1,798.214
run_11_repetition_0,DONE,r1,instructed_prompt_slen,O_n2_problem,554.334517,99.91,0.1,1791.116
run_87_repetition_0,DONE,r5,instructed_prompt_de,O_n_problem,224.364142,99.905,0.1,723.681
run_54_repetition_0,DONE,r4,human,O_n_problem,241.255233,99.901,0.1,778.867
run_8_repetition_0,DONE,r1,few_shot_prompt,O_n2_problem,673.800998,99.903,0.1,2180.837
run_33_repetition_0,DONE,r2,instructed_prompt_de,O_n_problem,218.829395,99.994,0.1,704.152
run_43_repetition_0,DONE,r3,few_shot_prompt,O_nlogn_problem,96.798779,99.956,0.1,308.257
run_49_repetition_0,DONE,r3,instructed_prompt_llen,O_nlogn_problem,102.692815,99.924,0.1,327.819
run_56_repetition_0,DONE,r4,human,O_n2_problem,434.956302,99.944,0.1,1405.247
run_53_repetition_0,DONE,r3,instructed_prompt_de,O_n2_problem,557.157499,99.909,0.1,1801.482
run_38_repetition_0,DONE,r3,human,O_n2_problem,436.137568,99.905,0.1,1408.657
run_25_repetition_0,DONE,r2,few_shot_prompt,O_nlogn_problem,92.999846,99.878,0.1,295.484
run_40_repetition_0,DONE,r3,base_prompt,O_nlogn_problem,100.645376,99.891,0.1,321.3
run_19_repetition_0,DONE,r2,human,O_nlogn_problem,111.731617,99.898,0.1,357.031
run_24_repetition_0,DONE,r2,few_shot_prompt,O_n_problem,238.736245,99.907,0.1,769.308
run_20_repetition_0,DONE,r2,human,O_n2_problem,427.779448,99.9,0.1,1382.551
run_75_repetition_0,DONE,r5,base_prompt,O_n_problem,239.218291,99.951,0.1,772.618
