Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728863476381,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,64,67,64,64,62,63,100,0,0,0,0,0,66.66667175292969,0,0,0,0,0,14.56588363647461,17179869184,2147483648,9987850240,607649792
204,1728863476382,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,64,67,64,64,62,63,0,0,0,0,0,0,0,0,50,0,0,0,14.56588363647461,17179869184,2147483648,9987981312,607649792
201,1728863476587,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,64,67,64,64,62,63,80.95238494873047,0,0,0,14.285715103149414,0,14.285715103149414,0,28.571430206298828,0,9.523809432983398,0,14.56588363647461,17179869184,2147483648,9997209600,607649792
200,1728863476789,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,64,67,64,64,62,63,52.38095474243164,0,0,0,14.285715103149414,0,5.263157844543457,0,57.894737243652344,0,0,0,14.56588363647461,17179869184,2147483648,9996562432,607649792
207,1728863476989,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,64,67,64,64,62,63,47.36842346191406,0,0,0,10,0,25,0,50,0,0,0,14.56588363647461,17179869184,2147483648,9996562432,607649792
205,1728863477197,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,64,67,64,64,62,63,81.81818389892578,0,0,0,19.047618865966797,0,19.047618865966797,0,19.047618865966797,0,0,0,16.075008392333984,17179869184,2147483648,9991131136,607649792
208,1728863477402,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,88,70,68,71,65,67,73.68421173095703,0,0,0,31.57894515991211,0,28.571430206298828,0,47.619049072265625,0,23.809524536132813,0,16.075008392333984,17179869184,2147483648,9974657024,607649792
207,1728863477611,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,88,70,68,71,65,67,68.18181610107422,0,14.285715103149414,0,36.3636360168457,0,52.38095474243164,0,73.68421173095703,0,28.571430206298828,0,16.075008392333984,17179869184,2147483648,9974681600,607649792
199,1728863477819,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,88,70,68,71,65,67,28.571430206298828,0,0,0,4.761904716491699,0,9.523809432983398,0,90.90909576416016,0,0,0,16.075008392333984,17179869184,2147483648,9974681600,607649792
201,1728863478019,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,88,70,68,71,65,67,15.000000953674316,0,0,0,10.526315689086914,0,5.263157844543457,0,70,0,25,0,16.075008392333984,17179869184,2147483648,9974681600,607649792
