Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729179302635,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,76,71,75,71,72,50,0,0,0,33.333335876464844,0,0,0,0,0,0,0,25.305984497070313,17179869184,4294967296,11485995008,2782134272
201,1729179302635,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,76,71,75,71,72,100,0,50,0,0,0,0,0,0,0,0,0,25.305984497070313,17179869184,4294967296,11486167040,2782134272
209,1729179302837,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,76,71,75,71,72,85,0,0,0,5.263157844543457,0,0,0,4.761904716491699,0,0,0,25.305984497070313,17179869184,4294967296,11493101568,2782134272
202,1729179303047,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,76,71,75,71,72,4.761904716491699,0,0,0,4.545454502105713,0,100,0,0,0,0,0,25.305984497070313,17179869184,4294967296,11493056512,2782134272
206,1729179303250,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,74,76,71,75,71,72,31.81818199157715,0,5,0,10,0,42.85714340209961,0,4.761904716491699,0,45,0,25.305984497070313,17179869184,4294967296,11493056512,2782134272
203,1729179303456,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,98,74,77,72,72,26.3157901763916,0,0,0,71.42857360839844,0,23.809524536132813,0,5,0,47.619049072265625,0,25.305984497070313,17179869184,4294967296,11493715968,2782134272
207,1729179303659,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,98,74,77,72,72,4.761904716491699,0,0,0,5,0,80,0,15.000000953674316,0,0,0,12.081307411193848,17179869184,4294967296,11493724160,2782134272
208,1729179303867,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,98,74,77,72,72,5,0,0,0,0,0,0,0,100,0,0,0,12.081307411193848,17179869184,4294967296,11493724160,2782134272
207,1729179304076,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,98,74,77,72,72,4.761904716491699,0,0,0,4.545454502105713,0,0,0,100,0,0,0,12.081307411193848,17179869184,4294967296,11493724160,2782134272
204,1729179304283,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,98,74,77,72,72,52.38095474243164,0,18.18181800842285,0,19.047618865966797,0,52.38095474243164,0,28.571430206298828,0,5,0,12.081307411193848,17179869184,4294967296,11493724160,2782134272
203,1729179304488,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,75,94,77,71,73,14.285715103149414,0,0,0,10,0,95,0,5,0,9.523809432983398,0,12.081307411193848,17179869184,4294967296,11493154816,2782134272
206,1729179304692,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,75,94,77,71,73,15.000000953674316,0,0,0,5,0,100,0,4.761904716491699,0,0,0,30.65968132019043,17179869184,4294967296,11490787328,2782134272
207,1729179304899,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,75,94,77,71,73,4.761904716491699,0,0,0,0,0,100,0,0,0,0,0,30.65968132019043,17179869184,4294967296,11490787328,2782134272
208,1729179305107,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,75,94,77,71,73,4.761904716491699,0,0,0,0,0,100,4.761904716491699,0,0,0,0,30.65968132019043,17179869184,4294967296,11490787328,2782134272
204,1729179305316,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,76,75,94,77,71,73,35,0,9.523809432983398,0,68.18181610107422,0,55,0,9.523809432983398,0,0,0,30.65968132019043,17179869184,4294967296,11490787328,2782134272
205,1729179305520,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,83,74,96,73,74,35,0,0,0,25,0,9.090909004211426,0,30.000001907348633,0,57.142860412597656,0,30.65968132019043,17179869184,4294967296,11476692992,2782134272
203,1729179305727,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,83,74,96,73,74,0,0,0,0,0,0,0,0,0,0,100,0,38.236270904541016,17179869184,4294967296,11476697088,2782134272
206,1729179305931,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,83,74,96,73,74,9.523809432983398,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,0,4.761904716491699,100,0,38.236270904541016,17179869184,4294967296,11474788352,2782134272
204,1729179306138,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,83,74,96,73,74,45,4.761904716491699,95.23809814453125,4.761904716491699,33.333335876464844,4.761904716491699,59.09090805053711,4.761904716491699,38.095237731933594,5,28.571430206298828,5,38.236270904541016,17179869184,4294967296,11476754432,2782134272
207,1729179306342,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,83,83,74,96,73,74,71.42857360839844,0,38.095237731933594,0,0,0,0,0,19.047618865966797,0,0,0,38.236270904541016,17179869184,4294967296,11476119552,2782134272
206,1729179306549,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,75,76,71,98,70,73,19.047618865966797,0,0,0,5,0,0,0,85,0,0,0,41.135040283203125,17179869184,4294967296,11475607552,2782134272
208,1729179306756,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,75,76,71,98,70,73,9.523809432983398,0,45,0,4.761904716491699,0,5,0,52.38095474243164,0,4.545454502105713,0,41.135040283203125,17179869184,4294967296,11472625664,2782134272
207,1729179306965,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,75,76,71,98,70,73,0,0,100,0,4.545454502105713,0,4.545454502105713,0,0,0,0,0,41.135040283203125,17179869184,4294967296,11472551936,2782134272
207,1729179307172,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,75,76,71,98,70,73,9.090909004211426,0,100,0,0,0,4.545454502105713,0,0,0,0,0,41.135040283203125,17179869184,4294967296,11471802368,2782134272
204,1729179307380,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,75,76,71,98,70,73,4.761904716491699,0,0,0,0,0,0,0,0,0,95.23809814453125,0,41.135040283203125,17179869184,4294967296,11471663104,2782134272
199,1729179307585,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,15.000000953674316,0,0,0,45,0,35,0,4.545454502105713,0,55,0,42.01590347290039,17179869184,4294967296,11471433728,2782134272
205,1729179307785,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,47.36842346191406,0,0,0,50,0,20,0,0,0,0,0,42.01590347290039,17179869184,4294967296,11471179776,2782134272
207,1729179307992,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,33.333335876464844,0,14.285715103149414,0,90.47618865966797,0,30.000001907348633,4.761904716491699,27.272727966308594,4.761904716491699,27.272727966308594,4.761904716491699,42.01590347290039,17179869184,4294967296,11460399104,2748579840
201,1729179308200,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,85.71428680419922,9.090909004211426,75,13.636363983154297,95,4.761904716491699,66.66667175292969,5,75,4.761904716491699,61.904762268066406,9.523809432983398,42.01590347290039,17179869184,4294967296,11468312576,2715025408
203,1729179308401,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,70,0,42.85714340209961,0,47.619049072265625,0,55,0,40,0,57.894737243652344,0,42.01590347290039,17179869184,4294967296,11567620096,2647916544
202,1729179308605,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,75,0,55,5,20,0,23.809524536132813,0,10,0,40.90909194946289,0,37.421627044677734,17179869184,4294967296,11717701632,2614362112
205,1729179308808,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,65,0,30.000001907348633,4.761904716491699,52.6315803527832,4.761904716491699,47.36842346191406,0,70,0,30.000001907348633,0,37.421627044677734,17179869184,4294967296,11857661952,2580807680
208,1729179309014,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,66.66667175292969,0,52.38095474243164,0,68.18181610107422,0,66.66667175292969,0,40,0,31.57894515991211,0,37.421627044677734,17179869184,4294967296,11857661952,2580807680
201,1729179309222,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,52.38095474243164,0,19.047618865966797,0,33.333335876464844,0,14.285715103149414,0,80.95238494873047,0,4.545454502105713,0,37.421627044677734,17179869184,4294967296,11857661952,2580807680
208,1729179309424,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,50,0,90,0,31.57894515991211,0,30.000001907348633,0,14.285715103149414,0,10,0,37.421627044677734,17179869184,4294967296,11857661952,2580807680
208,1729179309633,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,30.000001907348633,0,100,0,38.095237731933594,0,19.047618865966797,0,35,0,0,0,50.11166000366211,17179869184,4294967296,11905847296,2580807680
207,1729179309842,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,14.285715103149414,0,100,0,15.000000953674316,0,5,0,19.047618865966797,0,4.761904716491699,0,50.11166000366211,17179869184,4294967296,11903868928,2580807680
207,1729179310049,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,10,0,27.272727966308594,0,31.81818199157715,0,4.761904716491699,0,0,0,52.38095474243164,0,50.11166000366211,17179869184,4294967296,11903897600,2580807680
113870,1729179310257,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,9.523809432983398,0,40,0,0,0,4.545454502105713,0,0,0,60.000003814697266,0,50.11166000366211,17179869184,4294967296,11902128128,2580807680
204,1729179424128,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,73,72,72,73,96,72,17.06161117553711,0.9433962106704712,0.9478673338890076,0.4739336669445038,7.109004974365234,0.4739336669445038,4.285714626312256,0.4739336669445038,0.9433962106704712,0.9433962106704712,0.9478673338890076,0,0,17179869184,4294967296,11900596224,2580807680
202,1729179424333,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,35,35,35,35,35,35,35,35,75,40,66.66667175292969,45,65,45,70,45,85,35,85,50,0,17179869184,4294967296,11846488064,2580807680
203,1729179424536,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,35,35,35,35,35,35,35,35,65,20,84.21052551269531,23.809524536132813,71.42857360839844,23.809524536132813,71.42857360839844,19.047618865966797,52.38095474243164,19.047618865966797,76.19047546386719,23.809524536132813,0,17179869184,4294967296,11833483264,2580807680
203,1729179424740,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,35,35,35,35,35,35,35,35,90.47618865966797,61.904762268066406,95.23809814453125,78.94737243652344,95,60.000003814697266,95,65,94.73684692382813,63.15789031982422,94.73684692382813,75,22.37176513671875,17179869184,4294967296,11784765440,2580807680
203,1729179424944,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,35,35,35,35,35,35,35,35,75,21.052631378173828,70,28.571430206298828,80,25,80,25,85.71428680419922,28.571430206298828,95.23809814453125,28.571430206298828,22.37176513671875,17179869184,4294967296,11727679488,2580807680
199,1729179425148,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,35,35,35,35,35,35,35,35,70,23.809524536132813,76.19047546386719,25,65,20,65,25,80,25,66.66667175292969,25,22.37176513671875,17179869184,4294967296,11691511808,2580807680
201,1729179425348,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,35,35,35,35,35,35,35,35,47.36842346191406,5,100,0,52.6315803527832,5,52.38095474243164,4.761904716491699,65,4.761904716491699,90,5,22.37176513671875,17179869184,4294967296,11686662144,2580807680
201,1729179425550,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,35,35,35,35,35,35,35,35,95.23809814453125,0,15.789472579956055,9.090909004211426,23.809524536132813,5,95,0,40,0,15.789472579956055,5,22.37176513671875,17179869184,4294967296,11415207936,2580807680
203,1729179425752,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,35,35,35,35,35,35,35,35,100,65,95,78.94737243652344,95,65,100,71.42857360839844,95.23809814453125,52.38095474243164,95.23809814453125,65,102.6052474975586,17179869184,4294967296,11345047552,2580807680
189,1729179425969,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,35,35,35,35,35,35,35,35,95.45454406738281,95.23809814453125,95.65217590332031,91.30435180664063,100,95.45454406738281,100,90.47618865966797,100,95.23809814453125,100,95.45454406738281,102.6052474975586,17179869184,4294967296,11490222080,2580807680
200,1729179426162,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,35,35,35,35,35,35,35,35,94.73684692382813,65,94.73684692382813,77.77777862548828,90,63.15789031982422,95,73.68421173095703,89.47368621826172,75,85,85,102.6052474975586,17179869184,4294967296,11571204096,2580807680
200,1729179426364,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,68,76,72,79,68,71,35,35,100,45,85,57.142860412597656,90,50,90.47618865966797,50,95.23809814453125,52.6315803527832,90.47618865966797,52.6315803527832,102.6052474975586,17179869184,4294967296,11716612096,2580807680
202,1729179426565,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,68,76,72,79,68,71,35,35,100,90,100,89.47368621826172,100,90.47618865966797,100,90,100,85,100,95,14.056514739990234,17179869184,4294967296,11781545984,2580807680
200,1729179426768,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,68,76,72,79,68,71,35,35,95,75,95,85.71428680419922,95,73.68421173095703,95,71.42857360839844,100,76.19047546386719,100,76.19047546386719,14.056514739990234,17179869184,4294967296,11784790016,2547253248
202,1729179426969,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,68,76,72,79,68,71,35,35,95,25,95,40,95,30.000001907348633,95,35,90.47618865966797,35,94.73684692382813,40,14.056514739990234,17179869184,4294967296,11785912320,2547253248
202,1729179427173,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,68,76,72,79,68,71,35,35,94.73684692382813,60.000003814697266,95,78.94737243652344,95,57.142860412597656,95,57.142860412597656,94.73684692382813,73.68421173095703,90.47618865966797,78.94737243652344,14.056514739990234,17179869184,4294967296,11841093632,2547253248
203,1729179427375,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60,64,62,66,62,61,35,35,90.90909576416016,33.333335876464844,90.47618865966797,55,95,36.842105865478516,95,36.842105865478516,95,47.619049072265625,95,52.38095474243164,14.056514739990234,17179869184,4294967296,11888230400,2547253248
201,1729179427579,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60,64,62,66,62,61,35,35,84.21052551269531,5.263157844543457,85,19.047618865966797,85,9.523809432983398,85,10,85.71428680419922,10,85,10.526315689086914,55.24199295043945,17179869184,4294967296,11887656960,2547253248
202,1729179427781,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60,64,62,66,62,61,35,35,76.19047546386719,10,85.71428680419922,10,80,5,75,9.523809432983398,80,9.523809432983398,70,9.523809432983398,55.24199295043945,17179869184,4294967296,11887767552,2547253248
202,1729179427984,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60,64,62,66,62,61,35,35,80,9.523809432983398,78.94737243652344,19.047618865966797,70,15.000000953674316,85.71428680419922,10,80,10,80,14.285715103149414,55.24199295043945,17179869184,4294967296,11887767552,2547253248
200,1729179428187,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60,64,62,66,62,61,35,35,65,10,57.142860412597656,15.000000953674316,65,10,55,10,63.15789031982422,14.285715103149414,57.142860412597656,10,55.24199295043945,17179869184,4294967296,11906433024,2547253248
203,1729179428388,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,59,62,60,64,59,62,35,35,68.42105102539063,14.285715103149414,60.000003814697266,20,61.904762268066406,10,63.15789031982422,5,76.19047546386719,5.555555820465088,76.19047546386719,10.526315689086914,55.24199295043945,17179869184,4294967296,11908386816,2547253248
200,1729179428593,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,59,62,60,64,59,62,35,35,95.23809814453125,42.105262756347656,95,50,95,47.619049072265625,86.36363983154297,45,85.71428680419922,47.619049072265625,94.73684692382813,35,69.85750579833984,17179869184,4294967296,11954933760,2547253248
201,1729179428793,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,59,62,60,64,59,62,35,35,75,28.571430206298828,85,33.333335876464844,80,21.052631378173828,73.68421173095703,30.000001907348633,78.94737243652344,21.052631378173828,80,28.571430206298828,69.85750579833984,17179869184,4294967296,11954933760,2547253248
204,1729179428995,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,59,62,60,64,59,62,35,35,25,0,30.000001907348633,0,25,0,30.000001907348633,0,25,4.761904716491699,76.19047546386719,0,69.85750579833984,17179869184,4294967296,11954933760,2547253248
201,1729179429200,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,59,62,60,64,59,62,35,35,57.142860412597656,0,30.000001907348633,0,35,4.761904716491699,30.000001907348633,0,28.571430206298828,4.761904716491699,36.842105865478516,4.761904716491699,69.85750579833984,17179869184,4294967296,11993366528,2547253248
201,1729179429401,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,63,67,65,66,67,62,35,35,21.052631378173828,0,25,5,23.809524536132813,4.761904716491699,50,5,30.000001907348633,0,33.333335876464844,0,69.85750579833984,17179869184,4294967296,11994177536,2547253248
200,1729179429603,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,63,67,65,66,67,62,35,35,55,10,45,5,45,5.263157844543457,60.000003814697266,10,28.571430206298828,10,30.000001907348633,9.523809432983398,57.554840087890625,17179869184,4294967296,12010553344,2513698816
200,1729179429803,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,63,67,65,66,67,62,35,35,42.85714340209961,0,33.333335876464844,0,40,0,30.000001907348633,0,21.052631378173828,0,15.000000953674316,5,57.554840087890625,17179869184,4294967296,12044738560,2513698816
203,1729179430003,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,63,67,65,66,67,62,35,35,42.105262756347656,5,35,9.523809432983398,35,9.523809432983398,47.619049072265625,5,33.333335876464844,5,35,5,57.554840087890625,17179869184,4294967296,12044738560,2513698816
204,1729179430207,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,63,67,65,66,67,62,35,35,57.142860412597656,0,30.000001907348633,0,47.36842346191406,0,45,4.761904716491699,65,0,55,4.761904716491699,57.554840087890625,17179869184,4294967296,12003196928,2513698816
202,1729179430412,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,61,63,61,64,60,60,35,35,80,35,90,33.333335876464844,80.95238494873047,35,71.42857360839844,30.000001907348633,65,38.095237731933594,71.42857360839844,30.000001907348633,57.554840087890625,17179869184,4294967296,12045279232,2513698816
202,1729179430615,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,61,63,61,64,60,60,35,35,100,80.95238494873047,100,80,95.23809814453125,78.94737243652344,100,75,95.23809814453125,80,100,84.21052551269531,55.57420349121094,17179869184,4294967296,12062638080,2513698816
202,1729179430818,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,61,63,61,64,60,60,35,35,90,30.000001907348633,85,36.842105865478516,89.47368621826172,33.333335876464844,90.47618865966797,33.333335876464844,94.73684692382813,36.842105865478516,85,38.095237731933594,55.57420349121094,17179869184,4294967296,12076785664,2513698816
203,1729179431020,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,61,63,61,64,60,60,35,35,55,0,36.842105865478516,5,57.142860412597656,0,55,0,55,0,45,0,55.57420349121094,17179869184,4294967296,12077903872,2513698816
207,1729179431224,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,61,63,61,64,60,60,35,35,47.619049072265625,0,38.095237731933594,0,36.842105865478516,4.761904716491699,42.105262756347656,0,35,4.761904716491699,35,4.761904716491699,55.57420349121094,17179869184,4294967296,12085956608,2514747392
199,1729179431432,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60,62,59,62,61,59,35,35,85.71428680419922,42.85714340209961,76.19047546386719,38.095237731933594,76.19047546386719,35,90.47618865966797,38.095237731933594,80.95238494873047,40,80.95238494873047,38.095237731933594,55.57420349121094,17179869184,4294967296,11916648448,2700869632
201,1729179431633,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60,62,59,62,61,59,35,35,75,25,57.894737243652344,30.000001907348633,75,30.000001907348633,85,23.809524536132813,75,30.000001907348633,71.42857360839844,31.57894515991211,47.365081787109375,17179869184,4294967296,11720499200,2903769088
