__run_id,__done,run_number,prompts,problem,execution_time,cpu_usage,memory_usage,energy_usage
run_6_repetition_0,DONE,r2,one_shot_prompt,test,9.781415,99.989,5.033,25.698
run_7_repetition_0,DONE,r2,guided_prompt,test,9.465548,100.0,4.578,25.648
run_11_repetition_0,DONE,r3,guided_prompt,test,9.496448,100.067,4.622,25.72
run_1_repetition_0,DONE,r1,base_prompt,test,9.541199,99.822,4.6,25.876
run_10_repetition_0,DONE,r3,one_shot_prompt,test,9.55238,99.811,4.578,25.875
run_5_repetition_0,DONE,r2,base_prompt,test,9.409562,99.878,4.567,25.69
run_0_repetition_0,DONE,r1,human,test,9.383996,100.089,4.533,25.873
run_2_repetition_0,DONE,r1,one_shot_prompt,test,9.69157,99.789,5.1,25.852
run_4_repetition_0,DONE,r2,human,test,9.518995,100.0,4.611,25.833
run_3_repetition_0,DONE,r1,guided_prompt,test,9.857306,99.978,5.056,25.787
run_9_repetition_0,DONE,r3,base_prompt,test,9.422752,99.978,4.689,25.782
run_8_repetition_0,DONE,r3,human,test,9.60715,100.178,4.578,25.79
