__run_id,__done,run_number,prompts,problem,execution_time,cpu_usage,memory_usage,energy_usage
run_0_repetition_0,DONE,r1,human,O_n_problem,94.353028,99.925,0.1,301.742
run_1_repetition_0,DONE,r1,base_prompt,O_n_problem,90.469925,99.989,0.1,288.846
run_2_repetition_0,DONE,r1,few_shot_prompt,O_n_problem,94.732462,99.927,0.1,301.61
run_3_repetition_0,DONE,r1,instructed_prompt_slen,O_n_problem,97.117811,99.992,0.1,311.487
run_4_repetition_0,DONE,r1,instructed_prompt_llen,O_n_problem,98.756088,99.917,0.1,314.568
run_5_repetition_0,DONE,r1,instructed_prompt_de,O_n_problem,98.68343,99.932,0.1,314.673
run_6_repetition_0,DONE,r1,human,O_n2_problem,17.475858,99.976,0.1,51.9
run_7_repetition_0,DONE,r1,base_prompt,O_n2_problem,29.0914,99.975,0.1,90.825
run_8_repetition_0,DONE,r1,few_shot_prompt,O_n2_problem,28.359219,99.841,0.1,87.601
run_9_repetition_0,DONE,r1,instructed_prompt_slen,O_n2_problem,21.69499,99.833,0.1,64.857
run_10_repetition_0,DONE,r1,instructed_prompt_llen,O_n2_problem,21.510043,99.89,0.1,64.89
run_11_repetition_0,DONE,r1,instructed_prompt_de,O_n2_problem,21.212173,99.935,0.1,64.915
run_12_repetition_0,DONE,r1,human,O_nlogn_problem,4.274407,100,0.1,9.74
run_13_repetition_0,DONE,r1,few_shot_prompt,O_nlogn_problem,3.77369,100,0.1,6.491
run_14_repetition_0,DONE,r1,base_prompt,O_nlogn_problem,4.021682,100,0.1,6.463
run_15_repetition_0,DONE,r1,instructed_prompt_slen,O_nlogn_problem,3.82882,100,0.1,6.431
run_16_repetition_0,DONE,r1,instructed_prompt_llen,O_nlogn_problem,4.411091,99.825,0.1,9.739
run_17_repetition_0,DONE,r1,instructed_prompt_de,O_nlogn_problem,4.041908,100,0.1,9.735
run_18_repetition_0,DONE,r2,instructed_prompt_llen,O_n_problem,96.529904,99.911,0.1,308.124
run_19_repetition_0,DONE,r2,instructed_prompt_de,O_n_problem,96.3248,99.932,0.1,308.213
run_20_repetition_0,DONE,r2,human,O_n_problem,99.783064,99.904,0.1,317.967
run_21_repetition_0,DONE,r2,base_prompt,O_n_problem,92.929935,99.975,0.1,295.33
run_22_repetition_0,DONE,r2,few_shot_prompt,O_n_problem,97.351851,99.925,0.1,311.428
run_23_repetition_0,DONE,r2,instructed_prompt_slen,O_n_problem,90.72453,100,0.1,288.844
run_24_repetition_0,DONE,r2,human,O_n2_problem,17.172884,100,0.1,51.915
run_25_repetition_0,DONE,r2,base_prompt,O_n2_problem,28.836004,99.896,0.1,87.624
run_26_repetition_0,DONE,r2,few_shot_prompt,O_n2_problem,27.656421,99.941,0.1,84.365
run_27_repetition_0,DONE,r2,instructed_prompt_slen,O_n2_problem,22.480594,99.705,0.1,68.097
run_28_repetition_0,DONE,r2,instructed_prompt_llen,O_n2_problem,21.856635,100,0.1,64.831
run_29_repetition_0,DONE,r2,instructed_prompt_de,O_n2_problem,22.068765,100,0.1,68.158
run_30_repetition_0,DONE,r2,human,O_nlogn_problem,4.307802,100,0.1,9.762
run_31_repetition_0,DONE,r2,base_prompt,O_nlogn_problem,4.13991,100,0.1,9.706
run_32_repetition_0,DONE,r2,few_shot_prompt,O_nlogn_problem,3.818058,100,0.1,6.459
run_33_repetition_0,DONE,r2,instructed_prompt_slen,O_nlogn_problem,3.860674,100,0.1,6.49
run_34_repetition_0,DONE,r2,instructed_prompt_llen,O_nlogn_problem,4.270716,100,0.1,9.763
run_35_repetition_0,DONE,r2,instructed_prompt_de,O_nlogn_problem,4.219211,100,0.1,9.708
run_36_repetition_0,DONE,r3,human,O_n_problem,101.62854,99.998,0.1,324.44
run_37_repetition_0,DONE,r3,base_prompt,O_n_problem,90.983682,99.888,0.1,288.748
run_38_repetition_0,DONE,r3,few_shot_prompt,O_n_problem,97.104077,99.905,0.1,308.196
run_39_repetition_0,DONE,r3,instructed_prompt_slen,O_n_problem,93.727759,99.993,0.1,298.66
run_40_repetition_0,DONE,r3,instructed_prompt_llen,O_n_problem,96.38654,99.926,0.1,308.222
run_41_repetition_0,DONE,r3,instructed_prompt_de,O_n_problem,96.24357,99.935,0.1,308.343
run_42_repetition_0,DONE,r3,human,O_n2_problem,17.158643,99.856,0.1,51.866
run_43_repetition_0,DONE,r3,base_prompt,O_n2_problem,26.900599,99.954,0.1,81.111
run_44_repetition_0,DONE,r3,few_shot_prompt,O_n2_problem,26.473451,100.032,0.1,81.14
run_45_repetition_0,DONE,r3,instructed_prompt_slen,O_n2_problem,22.310474,99.933,0.1,68.125
run_46_repetition_0,DONE,r3,instructed_prompt_llen,O_n2_problem,23.282214,99.923,0.1,71.344
run_47_repetition_0,DONE,r3,instructed_prompt_de,O_n2_problem,21.491463,99.924,0.1,64.883
run_48_repetition_0,DONE,r3,base_prompt,O_nlogn_problem,4.109903,100,0.1,9.748
run_49_repetition_0,DONE,r3,human,O_nlogn_problem,4.521729,99.925,0.1,9.71
run_50_repetition_0,DONE,r3,few_shot_prompt,O_nlogn_problem,4.007111,100,0.1,6.49
run_51_repetition_0,DONE,r3,instructed_prompt_slen,O_nlogn_problem,3.807403,100,0.1,6.463
run_52_repetition_0,DONE,r3,instructed_prompt_llen,O_nlogn_problem,4.195585,100,0.1,9.678
run_53_repetition_0,DONE,r3,instructed_prompt_de,O_nlogn_problem,4.062584,100,0.1,9.738
